,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
3876,810846370585059801,Ocean View Motel Room @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$311.00,2,365,2,2,3,3,2.0,3.0,t,7,32,62,290,2,1,0,5.0,5.0,4.5,5.0,5.0,5.0,4.0,t,19,19,0
3877,810851358011665535,1 Bdm Garden View Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$338.00,2,365,2,2,3,3,2.0,3.0,t,25,55,85,313,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,t,19,19,0
3878,810857225453976566,1 Bdm Ocean View Ground floor Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$442.00,2,365,2,2,3,3,2.0,3.0,t,16,46,76,303,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,19,19,0
3879,810862066060363173,1 Bdrm Ocean View 1st Floor Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$468.00,2,365,2,2,3,3,2.0,3.0,t,16,43,73,297,0,0,0,,,,,,,,t,19,19,0
3880,810865717365285082,1 Bdrm Ocean View Top floor Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$494.00,2,365,2,2,3,3,2.0,3.0,t,13,41,71,298,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,t,19,19,0
3881,810869828116525741,Apartment 17 @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,$429.00,2,365,2,2,3,3,2.0,3.0,t,2,16,33,191,1,1,0,3.0,3.0,5.0,3.0,1.0,5.0,1.0,t,19,19,0
3882,810876597242009813,2Bd Ocean Facing 1st Floor Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,$494.00,2,365,2,2,3,3,2.0,3.0,t,4,15,41,227,2,1,0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,t,19,19,0
3883,811011639666529373,Apartment 25 @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,$507.00,2,365,2,2,3,3,2.0,3.0,t,5,22,40,260,0,0,0,,,,,,,,t,19,19,0
3884,811016962118389928,Apartment 19 @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,$624.00,2,1125,2,2,3,3,2.0,3.0,t,6,13,33,240,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,19,19,0
3885,811026219731619400,Apartment 16 @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,$728.00,2,365,2,2,3,3,2.0,3.0,t,1,13,18,209,0,0,0,,,,,,,,t,19,19,0
3886,811031157109961551,2bd Ocean View Ground Floor Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,$533.00,2,365,2,2,3,3,2.0,3.0,t,15,45,75,302,3,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,19,19,0
3887,811039271828442690,Apartment 24 @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,5.0,$728.00,2,365,2,2,3,3,2.0,3.0,t,0,17,27,208,0,0,0,,,,,,,,t,19,19,0
3888,811125663376948483,2bd Ocean View 1st Floor Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,$559.00,2,365,2,2,3,3,2.0,3.0,t,14,39,69,293,0,0,0,,,,,,,,t,19,19,0
