,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
2854,53707708,"Surf, Sea and Sand",47804701,Lois Buckett Real Estate,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.866458892822266,153.5924835205078,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,$425.00,3,1125,3,7,1125,1125,3.3,1125.0,t,17,39,69,148,3,0,0,4.67,4.67,5.0,5.0,5.0,4.67,4.67,f,50,50,0
2859,53724647,Byron Bay Holiday Homes - Marie and Fred's Retreat,201425692,Meg,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.658575,153.615051,Entire home,Entire home/apt,8,3.5,3.5 baths,4.0,5.0,$963.00,4,1125,4,7,1125,1125,4.4,1125.0,t,3,6,13,265,0,0,0,,,,,,,,f,10,10,0
2867,53777437,Ocean&shores -stunner! Large 4 bed house awaits!,34319354,Han,2015-05-26,within a day,100%,,f,3,t,BYRON SHIRE COUNCIL,,-28.52424,153.53189,Entire home,Entire home/apt,8,2.5,2.5 baths,4.0,1.0,$640.00,90,365,90,90,365,365,90.0,365.0,t,30,60,90,365,0,0,0,,,,,,,,t,1,1,0
2870,53801410,Countryside Home With Pool & Views,3443003,David,2012-09-01,within a day,100%,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.54244,153.48401,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$350.00,7,360,2,6,360,360,4.1,360.0,t,5,29,48,319,6,5,0,4.17,4.0,4.0,4.83,4.67,4.17,3.83,f,1,1,0
2878,53833762,The White House: Architectural Luxury in Byron,46502104,Simon,2015-10-13,within a day,100%,83%,t,1,t,BYRON SHIRE COUNCIL,,-28.68886,153.61101,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$378.00,3,365,1,3,365,365,3.0,365.0,t,0,0,0,34,52,8,0,4.9,4.98,5.0,4.98,4.94,4.98,4.75,f,1,1,0
2883,53849281,Beach Views,47804701,Lois Buckett Real Estate,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.799558639526367,153.5944366455078,Entire home,Entire home/apt,8,,2 baths,4.0,,,3,28,3,7,28,28,3.6,28.0,t,10,23,53,139,0,0,0,,,,,,,,f,50,50,0
2899,53971207,"Freestanding, modern, breezy 1-bedroom studio",437197940,Melanie,2021-12-23,within a day,100%,83%,t,1,t,BYRON SHIRE COUNCIL,,-28.686346,153.517929,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$173.00,2,365,1,21,365,365,9.5,365.0,t,11,41,71,161,29,2,0,4.97,4.97,5.0,4.97,4.97,4.93,4.86,f,1,1,0
2903,54021094,Family Beach House,48267803,Kelly,2015-11-05,within a day,100%,33%,f,1,t,BYRON SHIRE COUNCIL,,-28.513,153.54628,Entire home,Entire home/apt,6,1.0,1 bath,3.0,3.0,$250.00,3,14,3,4,14,14,3.0,14.0,t,9,22,22,277,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
2905,54038057,Coastal Escape with Beach and River at your feet.,156792899,Jeremy,2017-10-30,within a day,67%,0%,f,1,f,BYRON SHIRE COUNCIL,,-28.516931533813477,153.55003356933594,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$650.00,6,56,6,6,56,56,6.0,56.0,t,8,38,68,343,0,0,0,,,,,,,,f,1,1,0
2925,54329184,Tri-Level Villa- 180 Degree Panoramic Ocean Views!,440771466,Rosemary,2022-01-16,within a day,100%,33%,f,1,t,BALLINA SHIRE COUNCIL,,-28.80083,153.59485,Entire home,Entire home/apt,6,2.5,2.5 baths,3.0,4.0,$682.00,4,1125,2,7,1125,1125,4.1,1125.0,t,16,46,76,341,4,1,0,4.75,5.0,4.5,5.0,5.0,5.0,4.75,f,1,1,0
2973,558777822989133574,Byron bay Luxury Homes Belongil Beach House,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63294,153.59829,Entire home,Entire home/apt,8,3.0,3 baths,6.0,7.0,"$3,000.00",3,90,3,3,90,90,3.0,90.0,t,29,59,89,364,0,0,0,,,,,,,,f,58,58,0
2978,561754866108761073,Byron Bay Luxury Homes Baywatch at Wategos,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63701,153.6364,Entire home,Entire home/apt,10,2.5,2.5 baths,4.0,7.0,"$1,900.00",3,1125,3,7,3,1125,3.6,38.8,t,5,28,58,333,0,0,0,,,,,,,,f,58,58,0
2989,566820376108552372,'Suncrest 3’ Yamba.  Beachfront,53865367,Rebecca,2016-01-08,within a day,100%,75%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.437183,153.366241,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,$995.00,5,365,5,8,365,365,5.0,365.0,t,2,9,11,35,38,6,0,4.95,4.95,4.89,5.0,4.95,5.0,4.87,f,1,1,0
3052,601009994823425342,Central Murwillumbah 1 Bed Flat,57671215,Rosie,2016-02-06,within a day,100%,63%,f,1,t,TWEED SHIRE COUNCIL,,-28.3266,153.39815,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$229.00,2,7,2,2,7,7,2.0,7.0,t,29,59,89,89,2,2,0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,f,1,1,0
3061,604376350459005009,'Sheila',7008801,Lanie,2013-06-19,within a day,100%,40%,f,1,t,BYRON SHIRE COUNCIL,,-28.54224,153.54913,Entire place,Entire home/apt,2,,1 bath,1.0,,,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,6,2,0,5.0,5.0,5.0,5.0,5.0,4.83,4.83,f,1,1,0
3068,608832639446494336,"Blue, the Beachfront Cottage",2948820,Margaret,2012-07-15,within a day,100%,67%,f,2,t,CLARENCE VALLEY COUNCIL,,-29.86896,153.26714,Entire cottage,Entire home/apt,6,1.0,1 bath,3.0,3.0,$400.00,3,365,3,3,365,365,3.0,365.0,t,15,45,75,350,2,0,0,4.5,5.0,5.0,5.0,5.0,5.0,4.5,f,1,1,0
3106,612827194808288811,Ensuite room- walk to talos beach,146536106,Jonny,2017-08-17,within a day,100%,100%,f,3,t,BYRON SHIRE COUNCIL,,-28.68633,153.6088,Private room in rental unit,Private room,1,,1 private bath,1.0,,,1,4,1,1,4,4,1.0,4.0,t,0,0,0,0,6,0,0,4.33,4.67,4.67,4.33,4.5,4.5,4.83,t,2,1,1
3125,618387752916440399,Byron Bay Luxury Homes Belle Helena,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.66176,153.57628,Entire home,Entire home/apt,16,5.0,5 baths,7.0,12.0,"$2,450.00",3,1125,3,4,2,1125,3.1,36.2,t,5,35,65,332,2,0,0,5.0,5.0,5.0,5.0,4.5,4.5,5.0,f,58,58,0
3132,620535381461919478,Daybreak Vista. A modern beach home.,3059575,Megan,2012-07-26,within a day,75%,75%,f,2,t,TWEED SHIRE COUNCIL,,-28.31153,153.56959,Entire home,Entire home/apt,8,3.0,3 baths,4.0,5.0,$900.00,90,365,90,90,365,365,90.0,365.0,t,0,0,30,305,1,0,0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,t,2,2,0
3147,624806554249420963,Villa Laurenne,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.656042317840857,153.56220753106334,Entire home,Entire home/apt,8,4.0,4 baths,4.0,4.0,"$2,500.00",3,1125,3,7,3,1125,3.6,36.3,t,26,56,86,361,0,0,0,,,,,,,,f,58,58,0
3166,633549940828381926,Shaws View,47804701,Lois Buckett Real Estate,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.86525,153.581558,Entire home,Entire home/apt,9,2.0,2 baths,4.0,6.0,$456.00,3,30,3,7,30,30,3.8,30.0,t,2,22,52,136,4,3,0,4.0,4.75,3.75,4.25,4.75,5.0,3.75,f,50,50,0
3185,641511266381221015,Pandanus Luxe,47804701,Lois Buckett Real Estate,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.7883426,153.5914463,Entire home,Entire home/apt,5,,2 baths,2.0,,,3,30,3,7,30,30,3.0,30.0,t,13,43,73,163,0,0,0,,,,,,,,f,50,50,0
3186,641551123811326988,The Laneway Loft,47804701,Lois Buckett Real Estate,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.7883426,153.5914463,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$425.00,3,30,3,7,30,30,3.3,30.0,t,15,36,66,145,3,2,0,5.0,4.67,4.33,4.67,5.0,5.0,5.0,f,50,50,0
