,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
5221,1138637818615837946,Baydream on Clarkes Beach with ocean glimpses,16160864,Destination Byron,2014-05-30,within an hour,99.0,100%,f,38,t,BYRON SHIRE COUNCIL,,-28.64451,153.6219,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,$472.00,1,365,3,7,99,99,3.6,99.0,t,9,26,56,259,7,7,2,4.57,4.71,4.57,5.0,4.86,4.86,4.43,t,36,33,3
5222,1138710220536550373,Kookaburra,573234777,Gwanji,2024-04-19,within an hour,100.0,57%,f,1,t,LISMORE CITY COUNCIL,,-28.61322,153.2988,Entire home,Entire home/apt,6,1.5,1.5 baths,3.0,3.0,$330.00,2,365,2,2,365,365,2.0,365.0,t,9,39,69,249,3,3,0,4.67,4.67,5.0,4.67,5.0,4.33,4.67,f,1,1,0
5225,1139254753784280326,Dream Retreat in Byron Bay Hills,463770301,Elizabeth Jane,2022-06-11,within an hour,100.0,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.64152,153.481567,Entire home,Entire home/apt,6,2.0,2 baths,4.0,4.0,$864.00,2,30,2,2,30,30,2.0,30.0,t,20,50,80,80,0,0,0,,,,,,,,f,1,1,0
5227,1140044454933789928,Retreat-like home in Lennox Head,6189320,Sophie,2013-05-02,within a few hours,100.0,79%,f,1,t,BALLINA SHIRE COUNCIL,,-28.81966,153.59491,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$804.00,2,365,2,2,365,365,2.0,365.0,t,4,23,53,231,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
5231,1140205232632281455,Gypsy Mountain,161808998,Kirsty,2017-12-08,within an hour,100.0,92%,f,1,t,TWEED SHIRE COUNCIL,,-28.24442,153.43591,Farm stay,Entire home/apt,9,2.0,2 baths,3.0,7.0,$477.00,3,7,3,3,7,7,3.0,7.0,t,7,29,51,323,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
5232,1140817936306546882,Beachside Paradise at Cotton Beach 44,416567130,Holiday,2021-08-02,within an hour,96.0,100%,f,177,t,TWEED SHIRE COUNCIL,,-28.3113754,153.570526,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,3.0,$251.00,2,365,2,4,99,99,3.2,99.0,t,3,31,61,336,0,0,0,,,,,,,,t,175,174,1
5233,1140914868189524942,Double Ensuite Room in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.644,153.61322,Room in hotel,Private room,2,1.0,1 shared bath,1.0,1.0,$307.00,1,365,1,3,28,999,1.2,513.5,t,5,22,48,146,3,3,0,4.67,4.67,4.33,5.0,5.0,5.0,5.0,t,8,0,8
5234,1140918526862302455,Queen Ensuite Room in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.64362,153.61385,Room in hotel,Private room,2,1.0,1 shared bath,1.0,1.0,$337.00,1,365,1,3,28,999,1.2,513.5,t,6,23,49,146,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,8,0,8
5235,1140927551061535930,King Ensuite Room in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.64262,153.61408,Room in hotel,Private room,2,1.0,1 shared bath,1.0,1.0,$368.00,1,365,1,3,28,999,1.2,513.5,t,3,16,38,135,4,4,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,t,8,0,8
5236,1140928936859360064,Premium King Ensuite in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.64423,153.61246,Room in hotel,Private room,2,1.0,1 shared bath,1.0,1.0,$521.00,1,365,1,3,28,999,1.2,513.5,t,1,25,55,151,0,0,0,,,,,,,,t,8,0,8
5237,1140930881111413688,Deluxe King Ensuite in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.64387,153.61216,Room in hotel,Private room,2,1.0,1 shared bath,1.0,1.0,$491.00,1,365,1,3,28,999,1.2,647.5,t,1,27,57,156,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,4.5,t,8,0,8
5238,1140936337328077888,Quad Room w/ Balcony in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.6442,153.61193,Room in hotel,Private room,4,0.0,0 shared baths,1.0,4.0,$357.00,1,365,1,3,28,999,1.1,513.5,t,7,35,65,169,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,8,0,8
5239,1140938260150952112,6-Person Room w/ Balcony in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.64289,153.61266,Room in hotel,Private room,6,0.0,0 shared baths,1.0,6.0,$508.00,1,365,1,3,28,999,1.1,528.9,t,17,47,77,181,2,2,0,4.5,5.0,4.0,5.0,5.0,5.0,4.0,t,8,0,8
5240,1140939652239028038,8-Person Room w/ Balcony in the heart of Byron Bay,434963859,Vali Byron,2021-12-06,within an hour,100.0,99%,f,8,t,BYRON SHIRE COUNCIL,,-28.64198,153.61377,Room in hotel,Private room,8,0.0,0 shared baths,1.0,8.0,$625.00,1,365,1,3,28,999,1.1,513.5,t,21,51,81,185,1,1,0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,t,8,0,8
5243,1142271409131704171,Ballina Bliss -  Your Own Private  Sanctuary!,219729268,Marie,2018-10-09,within a few hours,100.0,100%,f,1,t,BALLINA SHIRE COUNCIL,,-28.86038,153.56681,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$171.00,3,90,1,5,90,90,5.0,90.0,t,0,0,6,39,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
5246,1143605435502108291,Escape to the beach only 200m,36193500,Doug,2015-06-19,within a day,100.0,64%,f,1,t,TWEED SHIRE COUNCIL,,-28.2427776,153.5673167,Entire home,Entire home/apt,7,2.5,2.5 baths,3.0,6.0,$311.00,2,365,2,2,365,365,2.0,365.0,t,3,27,57,232,2,2,0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,f,1,1,0
5247,1144663966247637559,Coastal - near beach and cafe. Superfast Wifi,358445024,Ken,2020-07-25,within an hour,100.0,83%,f,1,t,BYRON SHIRE COUNCIL,,-28.66245,153.61579,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,4,28,3,4,28,28,4.0,28.0,t,4,4,4,5,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
5249,1145863507614627130,Bright Oaks,259094186,Dan,2019-05-01,within an hour,97.0,65%,f,1,f,BALLINA SHIRE COUNCIL,,-28.85266,153.55439,Private room in guesthouse,Private room,2,1.5,1.5 baths,1.0,1.0,$106.00,1,365,1,1,365,365,1.0,365.0,t,20,49,79,354,17,17,6,4.76,4.82,5.0,4.94,4.88,4.59,4.88,f,1,0,1
5250,1145865451395344759,Sunrise @Byron,17188914,Laure,2014-06-24,within a few hours,100.0,64%,f,2,t,BYRON SHIRE COUNCIL,,-28.63492,153.58969,Entire home,Entire home/apt,4,2.0,2 baths,2.0,2.0,$380.00,2,365,2,2,365,365,2.0,365.0,t,0,0,0,17,3,3,0,5.0,5.0,5.0,4.67,5.0,4.67,5.0,f,2,2,0
5251,1145925904813629700,Seashells Pottsville Luxury Apt,490266140,Sommer,2022-12-04,within an hour,100.0,100%,f,4,t,TWEED SHIRE COUNCIL,,-28.38539,153.56681,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,2,365,2,2,365,365,2.0,365.0,t,0,0,0,0,0,0,0,,,,,,,,t,4,4,0
5252,1146001054433624617,Luxury Apartment 1328 at Bells Boulevard,192774381,Kingscliff Accommodation,2018-05-31,within an hour,96.0,97%,f,112,t,TWEED SHIRE COUNCIL,,-28.27536,153.5795,Entire rental unit,Entire home/apt,6,3.0,3 baths,3.0,4.0,$292.00,1,1125,1,5,2,1125,2.4,86.0,t,2,5,21,233,0,0,0,,,,,,,,t,112,109,3
5256,1146776799696223685,Oleander,163122702,Jessica,2017-12-18,within a few hours,100.0,83%,f,1,f,TWEED SHIRE COUNCIL,,-28.33471,153.56848,Entire home,Entire home/apt,5,1.0,1 bath,3.0,3.0,$471.00,2,10,2,2,10,10,2.0,10.0,t,7,13,26,91,5,5,0,4.8,4.8,4.8,5.0,5.0,5.0,4.6,f,1,1,0
5267,1151671507284613141,Cape Vue Estate,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BYRON SHIRE COUNCIL,,-28.6446407,153.5641515,Room in hotel,Private room,14,7.0,7 baths,7.0,7.0,"$4,518.00",1,365,1,1,365,365,1.0,365.0,t,24,54,84,312,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,9,5,4
5269,1152343361216927176,Waterfront retro house with pool,26919315,Ranee,2015-01-29,within an hour,100.0,95%,f,1,t,TWEED SHIRE COUNCIL,,-28.19883,153.50881,Entire home,Entire home/apt,8,2.5,2.5 baths,4.0,4.0,$496.00,2,1125,1,3,1125,1125,2.0,1125.0,t,15,41,68,176,12,12,2,4.83,4.92,4.83,4.92,4.92,4.83,4.83,f,1,1,0
5271,1152501237468890609,Cosy Clarence Retreat,58412748,Leesa,2016-02-12,within an hour,100.0,100%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.42866,153.3258,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$200.00,2,7,2,5,7,7,2.2,7.0,t,15,23,31,31,3,3,0,5.0,4.67,5.0,5.0,5.0,4.67,5.0,f,1,1,0
5272,1152723238529277318,The Health Lodge Deluxe Accessible Room,264602875,Reine,2019-05-27,within an hour,100.0,100%,f,10,t,BYRON SHIRE COUNCIL,,-28.65698,153.61468,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,$559.00,1,365,2,3,1125,1125,2.2,1125.0,t,30,60,90,361,0,0,0,,,,,,,,t,10,1,9
