,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1122,25876596,Greenhaven,122309944,Warren And Leone,2017-03-24,within an hour,100.0,98%,t,1,t,LISMORE CITY COUNCIL,,-28.7967,153.37601,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,75.0,1,14,1,1,1125,1125,1.0,1125.0,t,0,12,37,117,142,34,3,4.98,4.98,4.91,5.0,4.99,4.99,4.99,f,1,0,1
1123,25894508,Cosy  Private Room in Central Location,89619663,Robyn,2016-08-13,within an hour,100.0,83%,f,3,t,CLARENCE VALLEY COUNCIL,,-29.68755,152.92778,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,110.0,2,1125,2,2,1125,1125,2.0,1125.0,t,29,59,89,364,29,0,0,4.66,4.69,4.83,4.76,4.79,4.86,4.66,f,3,0,3
1125,26015136,The Studio min 2n@Byron Springs,98088251,Susan,2016-10-05,within an hour,100.0,99%,t,11,t,BYRON SHIRE COUNCIL,,-28.66175,153.61654,Private room in guest suite,Private room,2,1.0,1 shared bath,0.0,0.0,284.0,2,1125,2,2,1125,1125,2.0,1125.0,t,11,36,63,328,10,0,0,5.0,5.0,5.0,5.0,5.0,4.9,4.8,t,11,1,10
1131,26314590,Cozy bed in family home,180237432,Janelle,2018-03-24,,,,f,2,t,BALLINA SHIRE COUNCIL,,-28.81882,153.41662,Private room in home,Private room,2,1.0,1 shared bath,1.0,2.0,58.0,90,1125,90,90,1125,1125,90.0,1125.0,t,30,60,90,365,69,0,0,4.88,4.88,4.94,4.93,4.97,4.81,4.9,f,2,0,2
1138,26542152,Kirralee Retreat- 1 Bed Studio,128798597,Margaret And Paul,2017-05-04,within an hour,100.0,88%,f,2,t,BYRON SHIRE COUNCIL,,-28.66158676147461,153.61624145507812,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,224.0,2,90,2,2,90,90,2.0,90.0,t,5,30,60,146,7,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,1,1
1142,26967008,Room 15 mins from Murwillumbah,201245469,Saranya,2018-07-10,within an hour,100.0,100%,f,1,f,TWEED SHIRE COUNCIL,,-28.35236,153.3185,Private room in guest suite,Private room,2,1.5,1.5 shared baths,1.0,2.0,128.0,3,7,3,3,7,7,3.0,7.0,t,30,60,90,365,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,t,1,0,1
1143,27030907,Clarenza home with a view,61879531,Bronwyn,2016-03-06,within a few hours,100.0,75%,t,1,t,CLARENCE VALLEY COUNCIL,,-29.72267,152.96371,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,80.0,1,5,1,1,5,5,1.0,5.0,t,0,12,42,42,38,8,0,4.74,4.82,4.84,4.89,4.97,4.71,4.79,f,1,0,1
1229,29131833,Salt Resort & Spa 2br Spa Suite (Peppers),31315468,Deborah,2015-04-16,within an hour,100.0,100%,t,5,t,TWEED SHIRE COUNCIL,,-28.2757,153.57695,Private room in resort,Private room,7,2.0,2 baths,2.0,4.0,261.0,3,100,2,5,1125,1125,3.7,1125.0,t,9,22,49,301,132,15,1,4.89,4.95,4.86,4.93,4.98,4.98,4.85,t,5,0,5
1230,29160082,Nimbin Home Share,180657397,Mark,2018-03-26,within an hour,100.0,91%,t,2,t,LISMORE CITY COUNCIL,,-28.5979797,153.2259091,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,1.0,105.0,2,365,2,2,365,365,2.0,365.0,t,0,0,0,134,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,1,1
1251,29691542,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30152,153.5701,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,176.0,2,10,2,2,10,10,2.0,10.0,t,17,17,17,17,6,0,0,5.0,5.0,4.83,5.0,5.0,5.0,5.0,t,11,0,11
1252,29695426,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30142,153.56931,Room in boutique hotel,Private room,2,1.0,1 shared bath,1.0,2.0,211.0,2,14,2,2,14,14,2.0,14.0,t,19,19,19,19,9,0,0,4.78,4.89,5.0,4.89,5.0,4.78,4.78,t,11,0,11
1253,29695437,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30309,153.57042,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,211.0,2,10,2,2,10,10,2.0,10.0,t,19,19,19,19,6,1,0,4.83,5.0,4.83,4.67,5.0,5.0,4.83,t,11,0,11
1254,29708617,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30235,153.56943,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,211.0,2,14,2,2,14,14,2.0,14.0,t,19,19,19,19,5,0,0,4.8,4.8,4.8,4.8,5.0,4.8,5.0,t,11,0,11
1255,29708736,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30248,153.57028,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,199.0,2,14,2,2,14,14,2.0,14.0,t,19,19,19,19,8,0,0,4.5,4.38,4.63,4.5,4.5,4.88,4.63,t,11,0,11
1256,29710651,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30253,153.57045,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,2.0,190.0,2,10,2,2,10,10,2.0,10.0,t,12,12,12,12,6,0,0,4.83,4.83,5.0,4.83,4.83,4.83,4.67,t,11,0,11
1257,29719728,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30101,153.56869,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,2.0,190.0,2,10,2,2,10,10,2.0,10.0,t,19,19,19,19,6,0,0,5.0,4.83,5.0,5.0,5.0,5.0,5.0,t,11,0,11
1258,29719938,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30154,153.56871,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,2.0,190.0,3,10,3,3,10,10,3.0,10.0,t,11,11,11,11,6,0,0,4.83,4.5,4.83,5.0,5.0,4.83,4.83,t,11,0,11
1259,29720098,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30081,153.56998,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,2.0,190.0,2,10,2,2,10,10,2.0,10.0,t,19,19,19,19,4,0,0,4.5,5.0,5.0,5.0,5.0,4.5,4.25,t,11,0,11
1260,29720266,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.3009,153.5686,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,2.0,211.0,2,14,2,2,14,14,2.0,14.0,t,19,19,19,19,6,1,0,4.83,4.5,4.83,4.5,4.67,4.83,4.67,t,11,0,11
1269,29798491,Cute apartment close to beach,2695126,Mery,2012-06-20,within a day,100.0,50%,f,2,t,BYRON SHIRE COUNCIL,,-28.68591,153.60958,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,414.0,5,365,5,5,365,365,5.0,365.0,t,0,0,0,85,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,1,1
1279,30023858,Quiet Oasis || Relax In Nature || Private bathroom,5284442,Samaya,2013-03-02,within an hour,100.0,80%,t,6,t,BYRON SHIRE COUNCIL,,-28.66066,153.60912,Private room in home,Private room,2,1.5,1.5 shared baths,1.0,1.0,155.0,2,200,2,14,200,200,2.1,200.0,t,8,8,27,27,38,9,0,4.92,4.92,4.92,5.0,5.0,4.95,4.92,f,2,1,1
1282,30094690,Satara Byron Bay Retreat Suite,178865878,Jen,2018-03-16,a few days or more,33.0,,f,1,t,BYRON SHIRE COUNCIL,,-28.67672,153.61226,Room in boutique hotel,Private room,2,1.0,1 private bath,4.0,7.0,185.0,90,1125,90,90,1125,1125,90.0,1125.0,t,29,59,89,364,7,0,0,5.0,5.0,5.0,5.0,5.0,4.71,5.0,f,1,0,1
