,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
5435,1190760024088019073,Private bedroom with ensuite,586704451,Alyssa,2024-06-30,within an hour,80.0,100%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.43286,153.33294,Private room in home,Private room,2,2.0,2 baths,2.0,2.0,150.0,1,365,1,1,365,365,1.0,365.0,t,13,43,73,348,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1
5444,1192260343228527685,Romantic Coastal Studio – Santai 322,416567130,Holiday,2021-08-02,within an hour,96.0,100%,f,177,t,TWEED SHIRE COUNCIL,,-28.2951282,153.572429,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,182.0,2,365,2,4,99,99,3.2,99.0,t,25,55,85,224,3,3,0,4.67,4.67,4.67,3.0,3.67,5.0,4.67,t,175,174,1
5446,1192399067119037990,Blue Pacific 3 | Views Across Pippi Beach,446423586,Holiday Yamba,2022-02-22,within an hour,100.0,98%,t,77,t,CLARENCE VALLEY COUNCIL,,-29.4402,153.36535,Entire guesthouse,Entire home/apt,6,2.0,2 baths,3.0,5.0,183.0,2,1125,2,10,4,1125,2.5,118.1,t,0,6,36,298,1,1,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,t,75,75,0
5447,1192399574935858046,Convent Cottage | Pet Friendly,446423586,Holiday Yamba,2022-02-22,within an hour,100.0,98%,t,77,t,CLARENCE VALLEY COUNCIL,,-29.43788,153.3615,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,173.0,2,1125,2,9,3,1125,2.2,115.6,t,7,27,47,251,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,75,75,0
5449,1192401082457136315,"Paws on Pippi | Beautiful, Pet friendly home",446423586,Holiday Yamba,2022-02-22,within an hour,100.0,98%,t,77,t,CLARENCE VALLEY COUNCIL,,-29.44032,153.36248,Entire guesthouse,Entire home/apt,7,2.0,2 baths,3.0,3.0,165.0,2,1125,2,10,4,1125,2.4,118.1,t,2,32,62,337,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,75,75,0
5452,1192409141901133116,Villa 63 | Resort Style Living,446423586,Holiday Yamba,2022-02-22,within an hour,100.0,98%,t,77,t,CLARENCE VALLEY COUNCIL,,-29.44419,153.36308,Entire home,Entire home/apt,6,2.0,2 baths,3.0,5.0,165.0,2,1125,2,12,7,1125,2.7,125.7,t,4,34,38,283,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,75,75,0
5455,1192424236752400533,Talinga 5 | Location and views,446423586,Holiday Yamba,2022-02-22,within an hour,100.0,98%,t,77,t,CLARENCE VALLEY COUNCIL,,-29.43856,153.36319,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,168.0,2,1125,2,7,7,1125,3.0,46.4,t,13,30,46,121,0,0,0,,,,,,,,t,75,75,0
5458,1192454852094870809,Private and Peaceful Cottage,296986,Isabela,2010-11-23,within an hour,100.0,88%,f,1,t,BYRON SHIRE COUNCIL,,-28.54959,153.50551,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,158.0,2,365,2,2,365,365,2.0,365.0,t,5,30,56,69,18,18,3,5.0,4.94,5.0,5.0,5.0,4.94,4.94,f,1,1,0
5463,1193104674228857077,The boardroom,529106883,Daryl,2023-07-31,within an hour,100.0,100%,f,3,t,TWEED SHIRE COUNCIL,,-28.49893,153.21064,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,97.0,1,365,1,1,365,365,1.0,365.0,t,30,60,90,365,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,0,3
5464,1193123131331640591,A Touch of Red,529106883,Daryl,2023-07-31,within an hour,100.0,100%,f,3,t,TWEED SHIRE COUNCIL,,-28.49906,153.20918,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,97.0,1,365,1,1,365,365,1.0,365.0,t,30,60,90,365,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,0,3
5469,1193805250015553252,Carrington Retreat,105538629,Samara,2016-11-29,within an hour,100.0,95%,f,1,t,BALLINA SHIRE COUNCIL,,-28.86708,153.57042,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,143.0,3,90,3,5,90,90,3.0,90.0,t,2,2,2,11,7,7,2,4.86,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
5483,1197602414361776674,Yamba Views 10 - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100.0,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.435981686873795,153.3624215116394,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,165.0,1,45,2,7,45,45,3.4,45.0,t,0,14,42,317,7,7,0,5.0,4.86,4.71,5.0,5.0,5.0,4.86,f,39,39,0
5484,1197602739943122291,Yamba Views 6 - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100.0,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.43594431166392,153.36235713862305,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,165.0,1,45,2,7,45,45,3.3,45.0,t,12,42,72,72,14,14,2,4.93,5.0,4.93,5.0,5.0,5.0,4.79,f,39,39,0
5485,1197602994824751496,Yamba Views 8 - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100.0,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.43594431166392,153.3624000539673,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,163.0,1,45,2,7,45,45,3.4,45.0,t,0,0,0,0,11,11,0,4.82,4.82,5.0,4.91,5.0,5.0,4.55,f,39,39,0
5493,1201268746358857312,Peaceful Mullum Cabin,120822252,Gemma,2017-03-15,within a few hours,92.0,87%,f,1,t,BYRON SHIRE COUNCIL,,-28.55272,153.48781,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,130.0,2,80,2,2,80,80,2.0,80.0,t,8,33,55,55,22,22,6,4.77,4.91,4.91,4.95,5.0,4.82,4.77,f,1,1,0
