,Unnamed: 0,id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2532,2532,50778142,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.86556,153.58123,Entire home,Entire home/apt,11,3 baths,5.0,7.0,$893.00,3,30,3,5,30,30,3.4,30.0,t,29,59,84,160,2,1,0,2022-08-31,2024-07-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50,50,0,0,0.07
2542,2542,50897126,411537884,2021-07-07,within a day,75%,,f,1,t,TWEED SHIRE COUNCIL,,-28.31672366209404,153.5702808201313,Private room in resort,Private room,16,8 baths,8.0,16.0,"$3,900.00",2,365,2,2,365,365,2.0,365.0,t,23,50,76,343,5,1,0,2022-08-01,2023-12-26,4.0,3.8,3.8,4.2,4.0,4.8,3.6,1,0,1,0,0.17
2543,2543,50920631,411759100,2021-07-08,within a day,100%,94%,,2,t,CLARENCE VALLEY COUNCIL,,-29.43379,153.36068,Entire home,Entire home/apt,14,4 baths,7.0,7.0,"$1,107.00",2,365,2,5,350,900,2.4,414.5,t,24,54,82,349,41,22,0,2021-11-13,2024-10-27,4.68,4.8,4.68,5.0,4.9,4.95,4.63,1,1,0,0,1.09
2548,2548,51025876,20133698,2014-08-16,within a day,50%,69%,f,8,t,BYRON SHIRE COUNCIL,,-28.54036,153.55131,Entire home,Entire home/apt,4,2 baths,2.0,2.0,$424.00,1,90,1,7,90,90,4.3,90.0,t,6,6,6,274,0,0,0,,,,,,,,,,8,8,0,0,
2581,2581,51608851,5615184,2013-03-25,within a day,100%,33%,f,1,t,BYRON SHIRE COUNCIL,,-28.54871,153.50401,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,$220.00,5,365,4,5,365,365,4.9,365.0,t,13,13,13,13,3,1,0,2022-01-01,2024-01-04,5.0,5.0,5.0,5.0,5.0,4.67,5.0,1,1,0,0,0.08
2587,2587,51787000,1187943,2011-09-20,within a day,100%,82%,t,2,t,BYRON SHIRE COUNCIL,,-28.50438,153.43078,Entire home,Entire home/apt,2,1 bath,1.0,1.0,$289.00,3,28,3,3,28,28,3.0,28.0,t,8,8,22,69,6,3,0,2021-09-09,2024-10-11,5.0,5.0,4.83,5.0,5.0,5.0,5.0,2,2,0,0,0.15
2598,2598,52151448,80389284,2016-06-28,within a day,50%,0%,f,1,f,BALLINA SHIRE COUNCIL,,-28.8482,153.57781,Entire home,Entire home/apt,7,1 bath,3.0,3.0,$550.00,90,365,90,90,365,365,90.0,365.0,t,30,60,90,361,3,0,0,2021-12-28,2022-01-09,4.67,5.0,5.0,5.0,5.0,4.33,4.33,1,1,0,0,0.08
2624,2624,52503549,365187825,2020-08-30,within a day,50%,100%,f,1,t,TWEED SHIRE COUNCIL,,-28.33428,153.56666,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,$400.00,4,14,4,5,1125,1125,4.0,1125.0,t,22,34,34,34,1,1,0,2024-01-07,2024-01-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.09
2650,2650,52737939,116470706,2017-02-15,within a day,100%,100%,t,1,t,TWEED SHIRE COUNCIL,,-28.18281364440918,153.52490234375,Entire rental unit,Entire home/apt,4,1 bath,2.0,5.0,$275.00,2,365,2,5,365,365,4.7,365.0,t,29,59,89,179,3,2,0,2023-12-03,2024-10-05,4.67,5.0,4.67,5.0,5.0,5.0,5.0,1,1,0,0,0.24
2672,2672,52941488,65445356,2016-04-02,within a day,88%,97%,t,1,t,BYRON SHIRE COUNCIL,,-28.55538,153.50861,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,$300.00,3,1125,1,3,1125,1125,3.0,1125.0,t,0,8,24,109,54,29,3,2021-12-29,2024-12-02,4.93,4.96,4.96,4.94,5.0,4.96,4.89,1,1,0,0,1.5
2724,2724,53206038,430737061,2021-11-07,within a day,100%,100%,f,1,f,TWEED SHIRE COUNCIL,,-28.22853,153.52594,Entire home,Entire home/apt,10,2 baths,4.0,5.0,$734.00,7,30,7,7,30,30,7.0,30.0,t,16,46,76,351,3,1,0,2023-01-03,2024-01-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.13
2787,2787,53420207,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.791370391845703,153.5909423828125,Entire townhouse,Entire home/apt,6,2.5 baths,3.0,,,3,1125,3,3,1125,1125,3.0,1125.0,t,11,29,29,29,0,0,0,,,,,,,,,,50,50,0,0,
2799,2799,53468131,113932801,2017-01-30,within a day,100%,0%,f,1,t,BYRON SHIRE COUNCIL,,-28.49389,153.54342,Entire home,Entire home/apt,8,1.5 baths,4.0,6.0,$800.00,90,730,90,90,730,730,90.0,730.0,t,28,29,29,212,5,0,0,2022-01-01,2023-04-10,4.8,4.8,4.6,5.0,4.6,4.8,4.6,1,1,0,0,0.14
2810,2810,53560344,980148,2011-08-16,within a day,100%,88%,f,1,t,BYRON SHIRE COUNCIL,,-28.64093,153.55467,Entire home,Entire home/apt,4,2.5 baths,2.0,2.0,$627.00,3,25,3,3,25,25,3.0,25.0,t,8,8,8,8,18,1,0,2021-12-27,2024-10-05,4.94,4.89,5.0,5.0,5.0,4.94,4.83,1,1,0,0,0.5
2835,2835,53630776,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.6385684,153.6337549,Entire home,Entire home/apt,8,2 baths,3.0,4.0,"$1,358.00",3,90,3,7,3,90,4.0,29.4,t,0,0,15,290,2,0,0,2023-04-12,2023-04-26,4.5,5.0,4.5,5.0,5.0,5.0,4.5,58,58,0,0,0.1
2847,2847,53677170,77189411,2016-06-12,within a day,100%,75%,f,2,t,BYRON SHIRE COUNCIL,,-28.5154,153.54912,Entire home,Entire home/apt,10,1.5 baths,5.0,6.0,"$1,000.00",5,60,5,5,60,60,5.0,60.0,t,13,43,73,157,3,0,0,2022-09-01,2023-01-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.11
2854,2854,53707708,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.866458892822266,153.5924835205078,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,$425.00,3,1125,3,7,1125,1125,3.3,1125.0,t,17,39,69,148,3,0,0,2022-06-22,2023-05-05,4.67,4.67,5.0,5.0,5.0,4.67,4.67,50,50,0,0,0.1
2859,2859,53724647,201425692,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.658575,153.615051,Entire home,Entire home/apt,8,3.5 baths,4.0,5.0,$963.00,4,1125,4,7,1125,1125,4.4,1125.0,t,3,6,13,265,0,0,0,,,,,,,,,,10,10,0,0,
2867,2867,53777437,34319354,2015-05-26,within a day,100%,,f,3,t,BYRON SHIRE COUNCIL,,-28.52424,153.53189,Entire home,Entire home/apt,8,2.5 baths,4.0,1.0,$640.00,90,365,90,90,365,365,90.0,365.0,t,30,60,90,365,0,0,0,,,,,,,,,,1,1,0,0,
2870,2870,53801410,3443003,2012-09-01,within a day,100%,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.54244,153.48401,Entire home,Entire home/apt,6,2 baths,3.0,3.0,$350.00,7,360,2,6,360,360,4.1,360.0,t,5,29,48,319,6,5,0,2023-09-25,2024-10-08,4.17,4.0,4.0,4.83,4.67,4.17,3.83,1,1,0,0,0.4
2878,2878,53833762,46502104,2015-10-13,within a day,100%,83%,t,1,t,BYRON SHIRE COUNCIL,,-28.68886,153.61101,Entire home,Entire home/apt,2,1 bath,1.0,1.0,$378.00,3,365,1,3,365,365,3.0,365.0,t,0,0,0,34,52,8,0,2021-12-31,2024-04-22,4.9,4.98,5.0,4.98,4.94,4.98,4.75,1,1,0,0,1.44
2883,2883,53849281,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.799558639526367,153.5944366455078,Entire home,Entire home/apt,8,2 baths,4.0,,,3,28,3,7,28,28,3.6,28.0,t,10,23,53,139,0,0,0,,,,,,,,,,50,50,0,0,
2899,2899,53971207,437197940,2021-12-23,within a day,100%,83%,t,1,t,BYRON SHIRE COUNCIL,,-28.686346,153.517929,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,$173.00,2,365,1,21,365,365,9.5,365.0,t,11,41,71,161,29,2,0,2021-12-29,2024-05-07,4.97,4.97,5.0,4.97,4.97,4.93,4.86,1,1,0,0,0.8
2903,2903,54021094,48267803,2015-11-05,within a day,100%,33%,f,1,t,BYRON SHIRE COUNCIL,,-28.513,153.54628,Entire home,Entire home/apt,6,1 bath,3.0,3.0,$250.00,3,14,3,4,14,14,3.0,14.0,t,9,22,22,277,1,0,0,2023-01-07,2023-01-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.04
2905,2905,54038057,156792899,2017-10-30,within a day,67%,0%,f,1,f,BYRON SHIRE COUNCIL,,-28.516931533813477,153.55003356933594,Entire home,Entire home/apt,6,2 baths,3.0,3.0,$650.00,6,56,6,6,56,56,6.0,56.0,t,8,38,68,343,0,0,0,,,,,,,,,,1,1,0,0,
2925,2925,54329184,440771466,2022-01-16,within a day,100%,33%,f,1,t,BALLINA SHIRE COUNCIL,,-28.80083,153.59485,Entire home,Entire home/apt,6,2.5 baths,3.0,4.0,$682.00,4,1125,2,7,1125,1125,4.1,1125.0,t,16,46,76,341,4,1,0,2022-04-17,2024-01-12,4.75,5.0,4.5,5.0,5.0,5.0,4.75,1,1,0,0,0.12
2973,2973,558777822989133574,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63294,153.59829,Entire home,Entire home/apt,8,3 baths,6.0,7.0,"$3,000.00",3,90,3,3,90,90,3.0,90.0,t,29,59,89,364,0,0,0,,,,,,,,,,58,58,0,0,
2978,2978,561754866108761073,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63701,153.6364,Entire home,Entire home/apt,10,2.5 baths,4.0,7.0,"$1,900.00",3,1125,3,7,3,1125,3.6,38.8,t,5,28,58,333,0,0,0,,,,,,,,,,58,58,0,0,
2989,2989,566820376108552372,53865367,2016-01-08,within a day,100%,75%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.437183,153.366241,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,$995.00,5,365,5,8,365,365,5.0,365.0,t,2,9,11,35,38,6,0,2022-04-17,2024-07-30,4.95,4.95,4.89,5.0,4.95,5.0,4.87,1,1,0,0,1.17
3052,3052,601009994823425342,57671215,2016-02-06,within a day,100%,63%,f,1,t,TWEED SHIRE COUNCIL,,-28.3266,153.39815,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$229.00,2,7,2,2,7,7,2.0,7.0,t,29,59,89,89,2,2,0,2024-03-09,2024-08-16,5.0,5.0,5.0,5.0,5.0,4.5,4.5,1,1,0,0,0.21
3061,3061,604376350459005009,7008801,2013-06-19,within a day,100%,40%,f,1,t,BYRON SHIRE COUNCIL,,-28.54224,153.54913,Entire place,Entire home/apt,2,1 bath,1.0,,,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,6,2,0,2022-04-18,2024-05-05,5.0,5.0,5.0,5.0,5.0,4.83,4.83,1,1,0,0,0.18
3068,3068,608832639446494336,2948820,2012-07-15,within a day,100%,67%,f,2,t,CLARENCE VALLEY COUNCIL,,-29.86896,153.26714,Entire cottage,Entire home/apt,6,1 bath,3.0,3.0,$400.00,3,365,3,3,365,365,3.0,365.0,t,15,45,75,350,2,0,0,2022-05-05,2022-10-23,4.5,5.0,5.0,5.0,5.0,5.0,4.5,1,1,0,0,0.06
3106,3106,612827194808288811,146536106,2017-08-17,within a day,100%,100%,f,3,t,BYRON SHIRE COUNCIL,,-28.68633,153.6088,Private room in rental unit,Private room,1,1 private bath,1.0,,,1,4,1,1,4,4,1.0,4.0,t,0,0,0,0,6,0,0,2022-05-09,2022-07-07,4.33,4.67,4.67,4.33,4.5,4.5,4.83,2,1,1,0,0.19
3125,3125,618387752916440399,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.66176,153.57628,Entire home,Entire home/apt,16,5 baths,7.0,12.0,"$2,450.00",3,1125,3,4,2,1125,3.1,36.2,t,5,35,65,332,2,0,0,2022-07-18,2023-03-11,5.0,5.0,5.0,5.0,4.5,4.5,5.0,58,58,0,0,0.07
3132,3132,620535381461919478,3059575,2012-07-26,within a day,75%,75%,f,2,t,TWEED SHIRE COUNCIL,,-28.31153,153.56959,Entire home,Entire home/apt,8,3 baths,4.0,5.0,$900.00,90,365,90,90,365,365,90.0,365.0,t,0,0,30,305,1,0,0,2023-01-18,2023-01-18,4.0,4.0,3.0,5.0,3.0,5.0,2.0,2,2,0,0,0.04
3147,3147,624806554249420963,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.656042317840857,153.56220753106334,Entire home,Entire home/apt,8,4 baths,4.0,4.0,"$2,500.00",3,1125,3,7,3,1125,3.6,36.3,t,26,56,86,361,0,0,0,,,,,,,,,,58,58,0,0,
3166,3166,633549940828381926,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.86525,153.581558,Entire home,Entire home/apt,9,2 baths,4.0,6.0,$456.00,3,30,3,7,30,30,3.8,30.0,t,2,22,52,136,4,3,0,2023-11-26,2024-07-19,4.0,4.75,3.75,4.25,4.75,5.0,3.75,50,50,0,0,0.31
3185,3185,641511266381221015,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.7883426,153.5914463,Entire home,Entire home/apt,5,2 baths,2.0,,,3,30,3,7,30,30,3.0,30.0,t,13,43,73,163,0,0,0,,,,,,,,,,50,50,0,0,
3186,3186,641551123811326988,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.7883426,153.5914463,Entire home,Entire home/apt,4,1 bath,2.0,2.0,$425.00,3,30,3,7,30,30,3.3,30.0,t,15,36,66,145,3,2,0,2023-11-13,2024-07-16,5.0,4.67,4.33,4.67,5.0,5.0,5.0,50,50,0,0,0.23
3200,3200,648038084163812938,201425692,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.6646434,153.610143,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$275.00,3,365,3,7,365,365,3.4,365.0,t,0,29,59,322,5,0,0,2022-07-25,2023-10-03,4.8,4.4,4.8,5.0,5.0,4.8,4.4,10,10,0,0,0.17
3220,3220,655215777282107628,338223842,2020-02-22,within a day,100%,64%,f,1,t,LISMORE CITY COUNCIL,,-28.67583569113811,153.23582477867603,Entire home,Entire home/apt,10,1 bath,4.0,6.0,$621.00,2,38,2,4,38,38,2.3,38.0,t,7,34,64,339,14,5,0,2022-10-02,2024-09-08,4.93,4.93,5.0,4.93,5.0,4.93,4.93,1,1,0,0,0.52
3245,3245,663542141014613040,315652811,2019-12-08,within a day,100%,29%,f,1,t,BALLINA SHIRE COUNCIL,,-28.8287409,153.5995381,Entire home,Entire home/apt,6,2 baths,3.0,3.0,$550.00,2,30,1,3,30,30,2.4,30.0,t,0,0,20,288,11,6,0,2022-09-14,2024-02-23,4.64,4.73,4.64,4.82,4.91,5.0,4.73,1,1,0,0,0.4
3254,3254,664083697034434482,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.8031328,153.5973053,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,$365.00,3,30,3,7,30,30,3.7,30.0,t,7,16,22,108,2,0,0,2023-02-27,2023-03-15,4.5,5.0,5.0,5.0,4.5,5.0,4.5,50,50,0,0,0.09
3261,3261,665341476840463014,158900809,2017-11-15,within a day,80%,77%,t,2,t,TWEED SHIRE COUNCIL,,-28.24988,153.57039,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,$250.00,2,30,2,4,30,30,2.2,30.0,t,14,44,74,74,24,6,2,2022-07-25,2024-12-09,4.67,4.88,4.54,4.75,4.58,4.92,4.46,1,1,0,0,0.82
3293,3293,675124790191584610,32174609,2015-04-29,within a day,88%,64%,t,1,t,TWEED SHIRE COUNCIL,,-28.32326,153.40252,Entire home,Entire home/apt,3,1 bath,1.0,2.0,$225.00,2,5,2,2,1125,1125,2.0,1125.0,t,17,35,64,153,20,15,1,2023-09-16,2024-11-16,5.0,4.9,5.0,4.95,5.0,5.0,4.8,1,1,0,0,1.31
3312,3312,683611119900107736,106329043,2016-12-05,within a day,68%,66%,f,40,t,TWEED SHIRE COUNCIL,,-28.385085,153.568201,Entire home,Entire home/apt,7,3 baths,4.0,5.0,$388.00,1,90,1,7,90,90,4.1,90.0,t,7,22,50,284,10,2,0,2022-09-24,2024-05-29,4.5,4.5,3.5,4.8,4.8,4.7,4.1,40,40,0,0,0.37
3314,3314,684286421615793592,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.78772559999999,153.5930371,Entire rental unit,Entire home/apt,6,1 bath,3.0,4.0,$331.00,3,30,3,7,30,30,3.6,30.0,t,6,36,66,149,1,0,0,2022-12-04,2022-12-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50,50,0,0,0.04
3315,3315,684380496626075018,18223702,2016-03-08,within a day,100%,61%,f,3,t,BYRON SHIRE COUNCIL,,-28.69894,153.6005,Entire home,Entire home/apt,8,2 baths,3.0,4.0,$971.00,3,730,3,3,730,730,3.0,730.0,t,3,24,40,155,14,2,0,2022-08-25,2024-10-07,5.0,4.93,4.93,4.93,5.0,5.0,4.79,3,3,0,0,0.5
3343,3343,698844565356924499,106329043,2016-12-05,within a day,68%,66%,f,40,t,BYRON SHIRE COUNCIL,,-28.538846,153.550497,Entire vacation home,Entire home/apt,3,1 bath,2.0,2.0,$249.00,1,90,1,7,90,90,4.1,90.0,t,6,19,28,296,12,3,0,2022-09-26,2024-02-26,4.67,4.42,4.42,5.0,4.58,5.0,4.33,40,40,0,0,0.44
3349,3349,700973822821359767,4484372,2012-12-25,within a day,100%,79%,f,5,t,BYRON SHIRE COUNCIL,,-28.66349,153.61064,Private room in home,Private room,2,2 shared baths,1.0,1.0,$56.00,3,365,3,5,30,365,3.1,355.1,t,9,19,19,19,17,7,0,2022-09-24,2024-05-20,4.65,4.53,4.59,4.94,4.53,4.47,4.53,5,1,4,0,0.63
3364,3364,708874238596566499,106329043,2016-12-05,within a day,68%,66%,f,40,t,BYRON SHIRE COUNCIL,,-28.538846,153.550497,Entire vacation home,Entire home/apt,2,1 bath,1.0,1.0,$222.00,1,90,1,7,90,90,4.1,90.0,t,11,26,56,324,5,2,0,2022-10-31,2024-08-31,4.8,4.8,4.8,5.0,5.0,5.0,4.4,40,40,0,0,0.19
3365,3365,708922746296769055,106329043,2016-12-05,within a day,68%,66%,f,40,t,BYRON SHIRE COUNCIL,,-28.53853,153.54979,Entire vacation home,Entire home/apt,3,1 bath,2.0,2.0,$249.00,1,90,1,7,90,90,4.1,90.0,t,0,4,21,283,4,1,0,2022-10-24,2024-02-19,4.75,4.75,4.0,5.0,4.25,5.0,4.5,40,40,0,0,0.15
3371,3371,710982841399775529,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63372,153.59517,Entire villa,Entire home/apt,8,4.5 baths,3.0,3.0,"$3,000.00",3,1125,3,7,3,1125,3.6,45.1,t,12,12,26,301,2,0,0,2023-10-01,2023-12-08,5.0,5.0,4.5,3.5,5.0,5.0,5.0,58,58,0,0,0.14
3372,3372,710983944337993242,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.64228,153.62469,Entire villa,Entire home/apt,8,4.5 baths,4.0,4.0,"$2,000.00",3,1125,3,7,3,1125,3.6,45.1,t,6,24,54,322,0,0,0,,,,,,,,,,58,58,0,0,
3373,3373,710984836434413055,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63877,153.62857,Entire villa,Entire home/apt,8,4.5 baths,4.0,4.0,"$3,100.00",3,1125,3,7,4,1125,4.3,50.0,t,4,28,53,295,0,0,0,,,,,,,,,,58,58,0,0,
3399,3399,716898151241763556,36591867,2015-06-24,within a day,100%,79%,f,3,t,BYRON SHIRE COUNCIL,,-28.6519,153.62096,Entire home,Entire home/apt,4,1 bath,2.0,3.0,$220.00,1,3,1,1,3,3,1.0,3.0,t,0,0,0,55,3,0,0,2022-11-20,2022-12-17,5.0,5.0,5.0,5.0,5.0,4.67,4.67,2,2,0,0,0.12
3405,3405,719667646696414243,201425692,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.65538,153.62195,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$560.00,4,180,2,7,180,180,3.0,180.0,t,0,0,0,245,1,0,0,2022-12-17,2022-12-17,5.0,4.0,5.0,5.0,5.0,5.0,5.0,10,10,0,0,0.04
3406,3406,719877468014308893,146536106,2017-08-17,within a day,100%,100%,f,3,t,BYRON SHIRE COUNCIL,,-28.68672,153.60878,Entire rental unit,Entire home/apt,4,2 baths,2.0,,,2,9,2,2,1125,1125,2.0,1125.0,t,0,0,0,1,3,1,0,2022-12-07,2024-05-21,5.0,5.0,4.67,5.0,5.0,4.67,5.0,2,1,1,0,0.12
3411,3411,720620898005342239,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.6329406,153.5982933,Entire home,Entire home/apt,14,5 baths,7.0,8.0,"$3,372.00",3,1125,3,7,3,1125,3.6,534.3,t,22,52,82,345,0,0,0,,,,,,,,,,58,58,0,0,
3430,3430,724236758838517003,145732092,2017-08-12,within a day,100%,40%,f,1,t,TWEED SHIRE COUNCIL,,-28.19268,153.50727,Entire home,Entire home/apt,4,1 bath,2.0,,,30,90,5,7,90,90,6.1,90.0,t,0,0,0,0,17,3,0,2022-10-03,2024-04-01,4.71,4.76,4.65,5.0,5.0,4.59,4.65,1,1,0,0,0.63
3469,3469,736420548485999436,187404780,2018-05-02,within a day,79%,96%,f,58,t,BALLINA SHIRE COUNCIL,,-28.79475,153.59421,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,$593.00,3,1125,3,7,2,1125,3.5,36.2,t,0,12,40,313,4,1,0,2023-09-20,2024-03-30,4.75,4.25,5.0,4.25,5.0,5.0,4.75,58,58,0,0,0.26
3470,3470,736420552628126447,187404780,2018-05-02,within a day,79%,96%,f,58,t,BALLINA SHIRE COUNCIL,,-28.7947508,153.5942128,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,$717.00,3,1125,3,7,2,1125,3.5,36.2,t,12,41,69,344,6,4,0,2023-08-01,2024-07-08,4.67,4.17,4.5,4.5,4.5,4.83,4.17,58,58,0,0,0.36
3471,3471,736421000515914455,187404780,2018-05-02,within a day,79%,96%,f,58,t,BALLINA SHIRE COUNCIL,,-28.7947508,153.5942128,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,$584.00,3,1125,3,7,2,1125,3.5,36.2,t,0,6,34,309,4,0,0,2022-11-06,2023-04-13,5.0,5.0,4.75,5.0,5.0,5.0,5.0,58,58,0,0,0.16
3474,3474,736595271219144901,2901436,2012-07-11,within a day,100%,,f,1,t,CLARENCE VALLEY COUNCIL,,-29.42602,153.32772,Private room in home,Private room,1,1.5 shared baths,1.0,1.0,$74.00,90,1125,90,90,1125,1125,90.0,1125.0,t,28,58,88,363,9,0,0,2022-10-25,2023-10-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,0.34
3476,3476,737341288655290726,318343,2010-12-14,within a day,63%,0%,f,1,t,BYRON SHIRE COUNCIL,,-28.68072,153.60134,Entire villa,Entire home/apt,10,3 baths,4.0,6.0,"$1,000.00",90,160,90,90,160,160,90.0,160.0,t,23,53,83,351,5,1,0,2022-12-29,2024-01-31,5.0,5.0,5.0,5.0,5.0,5.0,4.8,1,1,0,0,0.21
3542,3542,743155864942601388,119852198,2017-03-08,within a day,75%,50%,f,1,t,TWEED SHIRE COUNCIL,,-28.37105,153.55743,Entire home,Entire home/apt,5,2.5 baths,3.0,3.0,$330.00,2,21,2,5,21,21,2.0,21.0,t,0,14,44,312,5,3,0,2023-07-24,2024-10-10,5.0,5.0,5.0,5.0,5.0,5.0,4.8,1,1,0,0,0.29
3552,3552,744479101688504509,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.6438308,153.6217878,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,$480.00,3,1125,3,7,2,1125,3.5,36.2,t,11,36,56,313,0,0,0,,,,,,,,,,58,58,0,0,
3553,3553,744494195469657542,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.6543857,153.539741,Entire home,Entire home/apt,10,5.5 baths,5.0,5.0,"$4,959.00",90,1125,90,90,7,1125,90.0,48.9,t,29,59,89,364,0,0,0,,,,,,,,,,58,58,0,0,
3560,3560,746670539709515284,187404780,2018-05-02,within a day,79%,96%,f,58,t,BALLINA SHIRE COUNCIL,,-28.7946404,153.5941898,Entire home,Entire home/apt,12,2 baths,5.0,6.0,"$1,326.00",3,1125,3,7,3,1125,3.5,38.8,t,4,5,5,11,12,5,2,2023-03-26,2024-12-09,4.67,4.17,4.67,4.83,4.42,5.0,4.58,58,58,0,0,0.57
3569,3569,749269261968878605,214247374,2018-09-08,within a day,67%,0%,f,1,t,BALLINA SHIRE COUNCIL,,-28.86728,153.47674,Entire home,Entire home/apt,8,2.5 baths,4.0,6.0,"$1,000.00",7,15,4,7,15,15,6.7,15.0,t,0,0,0,43,1,1,0,2024-01-01,2024-01-01,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1,1,0,0,0.09
3588,3588,754625663449315903,347597819,2020-05-25,within a day,67%,,f,1,t,BYRON SHIRE COUNCIL,,-28.69007,153.61099,Entire home,Entire home/apt,8,3 baths,5.0,,,90,365,90,90,365,365,90.0,365.0,t,30,33,33,33,0,0,0,,,,,,,,,,1,1,0,0,
3613,3613,757378132446150033,24918038,2014-12-16,within a day,100%,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.68928,153.61086,Entire villa,Entire home/apt,8,2 baths,4.0,5.0,"$1,500.00",7,365,7,7,365,365,7.0,365.0,t,21,51,81,356,2,1,0,2023-04-15,2023-12-26,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1,1,0,0,0.1
3622,3622,759579130815139070,28141510,2015-02-22,within a day,100%,86%,f,1,t,BYRON SHIRE COUNCIL,,-28.6874887,153.6042418,Entire villa,Entire home/apt,14,3 baths,6.0,11.0,"$1,929.00",5,14,2,5,14,14,5.0,14.0,t,6,25,39,246,6,3,0,2023-03-04,2024-04-26,4.83,4.83,4.83,5.0,5.0,5.0,4.5,1,1,0,0,0.28
