,Unnamed: 0,id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1816,1816,40922562,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.6435,153.62534,Entire home,Entire home/apt,8,2.5 baths,4.0,5.0,"$1,100.00",90,1125,90,90,3,1125,90.0,38.8,t,10,26,52,312,1,0,0,2023-02-04,2023-02-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,58,58,0,0,0.04
1817,1817,40923549,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.64348,153.6256,Entire home,Entire home/apt,8,3 baths,4.0,5.0,"$1,100.00",3,1125,3,7,3,1125,3.6,38.8,t,2,9,26,259,3,1,0,2020-02-24,2024-06-17,5.0,5.0,5.0,5.0,5.0,5.0,4.67,58,58,0,0,0.05
1845,1845,41487921,136258757,2017-06-21,within a day,100%,92%,t,1,t,TWEED SHIRE COUNCIL,,-28.39217,153.56422,Entire home,Entire home/apt,7,1 bath,3.0,4.0,$450.00,2,1125,2,2,1125,1125,2.0,1125.0,t,4,30,54,223,85,18,2,2020-02-27,2024-11-23,4.94,4.96,4.89,4.98,4.99,4.96,4.85,1,1,0,0,1.45
1847,1847,41539072,187404780,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.64053,153.62831,Entire home,Entire home/apt,8,3 baths,4.0,5.0,$900.00,3,1125,3,7,3,1125,3.6,38.8,t,15,35,62,327,3,0,0,2020-08-30,2023-01-21,4.33,4.33,4.67,3.67,5.0,4.0,4.0,58,58,0,0,0.06
1854,1854,41693698,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.789148330688477,153.58966064453125,Entire townhouse,Entire home/apt,4,1 bath,2.0,2.0,$322.00,3,28,3,7,28,28,3.0,28.0,t,6,18,42,126,9,0,0,2020-12-09,2023-03-12,4.22,4.67,4.33,4.56,4.33,4.33,4.67,50,50,0,0,0.18
1858,1858,41822129,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.798503875732425,153.59368896484375,Entire home,Entire home/apt,8,2 baths,4.0,,,3,31,3,7,31,31,3.3,31.0,t,3,26,42,127,3,0,0,2020-12-10,2023-01-13,5.0,4.67,5.0,4.67,5.0,5.0,4.67,50,50,0,0,0.06
1864,1864,41889783,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.803136825561523,153.5972900390625,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,$365.00,3,28,3,7,28,28,3.7,28.0,t,4,19,36,118,6,0,0,2020-08-14,2023-05-22,4.33,4.17,4.0,4.67,4.17,4.83,4.0,50,50,0,0,0.11
1868,1868,41984944,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.798688888549805,153.5935516357422,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$313.00,3,28,3,7,28,28,3.7,28.0,t,2,32,52,138,6,1,0,2020-10-02,2024-10-04,4.67,5.0,5.0,5.0,4.83,4.83,4.33,50,50,0,0,0.12
1883,1883,42262941,10710406,2013-12-19,within a day,100%,98%,f,8,t,BYRON SHIRE COUNCIL,,-28.64085,153.60678,Entire home,Entire home/apt,6,2 baths,3.0,3.0,$852.00,1,365,1,7,99,99,1.3,99.0,t,23,51,78,348,12,2,0,2020-10-20,2024-04-28,4.42,4.25,4.58,4.67,4.42,4.75,4.08,8,4,4,0,0.24
1887,1887,42367793,201425692,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.64619,153.61485,Entire home,Entire home/apt,6,3 baths,3.0,4.0,$952.00,4,180,3,7,1125,1125,4.6,1125.0,t,0,18,36,269,70,7,0,2020-06-11,2024-10-12,4.94,4.91,4.84,4.99,4.99,5.0,4.67,10,10,0,0,1.27
